corpus,qid,label,count,lat,lon
cs,Q6548,Orléans,23,47.902222222222,1.9041666666667
cs,Q8717,Seville,23,37.383333333333,-5.9833333333333
cs,Q390177,Petřvald,23,49.830981416104,18.389449339429
cs,Q909352,Doubrava,23,49.85871252339,18.480224394615
cs,Q2661974,Olšany Cemetery,22,50.080555555556,14.470555555556
cs,Q145,United Kingdom,22,54.6,-2
cs,Q145002,Trenčín,22,48.894166666667,18.040555555556
cs,Q1575707,Haná,21,49.483333333333334,17.25
cs,Q3491239,Polabí,21,50.17,15.08
cs,Q845990,Kriváň,21,49.1628335,20.000047
cs,Q194450,Thermopylae,21,38.797617,22.535785
cs,Q378120,Žižkov,21,50.0872,14.4628
cs,Q1780,Bratislava,21,48.144722222222,17.112777777778
cs,Q35958,Bosporus Strait,21,41.119444444444,29.075277777778
cs,Q881523,Blanice,21,49.277249,14.116547
cs,Q3489715,Hrušov,21,49.86027778,18.30388889
cs,Q2807,Madrid,20,40.41694444444445,-3.703333333333333
cs,Q279943,Lužnice,20,49.188915,14.701045
cs,Q84572977,Zbraslav,20,49.975833333333334,14.393333333333333
cs,Q32530,Lusatia,20,51.5450653,14.72614
cs,Q5690,Sparta,20,37.081944444444,22.423611111111
cs,Q104587,Kyjov,20,49.010193088478,17.122531686075
cs,Q750224,Strakonice,20,49.261497897079,13.902396874574
cs,Q733581,Vítkovice,20,49.80833333,18.27472222
cs,Q193719,Cheb,20,50.079759165169,12.373995588434
cs,Q1229,Don,20,47.0864,39.2386
cs,Q13362,Ferrara,20,44.835297,11.619865
cs,Q1012797,Ostia,20,41.755833,12.291667
cs,Q3565931,Krásné Pole,20,49.8441,18.1225
cs,Q1208,Brandenburg,19,52.361944444444,13.008055555556
cs,Q2090,Nuremberg,19,49.45388888888889,11.0775
cs,Q23666,Great Britain,19,53.833333333333,-2.4166666666667
cs,Q510481,Orava,19,49.1535,19.1402
cs,Q327764,Prachatice,19,49.013013368826,13.997533003713
cs,Q1734030,Karlín,19,50.09194,14.44528
cs,Q1750784,Tetín,19,49.949399584664,14.102312670725
cs,Q6343,Carthage,19,36.852558,10.323461
cs,Q60,New York City,19,40.7,-74
cs,Q782147,Valtice,19,48.740717231543,16.754980660173
cs,Q183111,Jihlava,18,49.400277777778,15.590555555556
cs,Q853522,Bezděz,18,50.53370785314,14.722071223978
cs,Q1731,Dresden,18,51.05,13.74
cs,Q827033,Berounka,18,49.920834,14.215082
cs,Q393426,Žatec,18,50.327264913574,13.545859487384
cs,Q204871,Charles Bridge,18,50.086388888889,14.411944444444
cs,Q1894568,Sychrov,18,50.62579398555,15.089464953591
cs,Q34589,Euphrates,18,31.0043,47.442
cs,Q229,Cyprus,17,35,33
cs,Q48314,Battle of Waterloo,17,50.67805555555555,4.412222222222222
cs,Q5687,Jericho,17,31.856111111111,35.463055555556
cs,Q1055,Hamburg,17,53.55,10
cs,Q558093,Gehenna,17,31.76916667,35.22805556
cs,Q166,Black Sea,17,43.41,34.26
cs,Q524,Mount Vesuvius,17,40.821388888889,14.425555555556
cs,Q1017,Aachen,17,50.776207,6.083788
cs,Q164505,Želiv,17,49.529894335411,15.221846310192
cs,Q597,Lisbon,17,38.708042,-9.139016
cs,Q421678,Old Town Square,17,50.0875,14.421388888889
cs,Q103011,Corinth,17,37.93861111111111,22.927222222222223
cs,Q15696,Zamora,17,41.503333333333,-5.7555555555556
cs,Q890949,Bohumín,17,49.90408983288,18.357595239984
cs,Q34374,Crete,16,35.309722222222,24.893333333333
cs,Q180139,Hradec Králové,16,50.209166666667,15.831944444444
cs,Q188082,Český Krumlov,16,48.810990441614,14.31520771066
cs,Q179251,Morava,16,48.61619,16.940149
cs,Q19675,Louvre Museum,16,48.861111111111114,2.3358333333333334
cs,Q191097,Tachov,16,49.795398066933,12.633709213451
cs,Q660208,Thaya,16,48.6164,16.94
cs,Q2978,Regensburg,16,49.016666666666666,12.083333333333334
cs,Q6397,Avignon,16,43.948611111111,4.8083333333333
cs,Q34221,Niagara Falls,16,43.08,-79.071
